stream_num,frac,Exact,F_HLL
1,0.2,19358,18829.4
1,0.4,38531,38055.4
1,0.6,57647,56871.9
1,0.8,76638,77586.4
1,1,95632,93238.3
2,0.2,19356,20143
2,0.4,38545,39522.5
2,0.6,57629,58958.3
2,0.8,76664,78445.8
2,1,95632,97861.2
3,0.2,19368,18908.9
3,0.4,38563,38736.8
3,0.6,57649,57250
3,0.8,76671,76208.4
3,1,95653,94845.3
4,0.2,19342,19157.3
4,0.4,38490,39585.5
4,0.6,57572,60452.6
4,0.8,76627,78328.3
4,1,95652,96166
5,0.2,19386,19444.2
5,0.4,38573,40823.2
5,0.6,57670,59389.3
5,0.8,76663,77494.9
5,1,95609,95500.4
