stream_num,frac,Exact,F_HLL
1,0.2,19352,19459.5
1,0.4,38512,38126.1
1,0.6,57591,58182.8
1,0.8,76630,77702.1
1,1,95616,96707.5
2,0.2,19366,19376.4
2,0.4,38521,39068.7
2,0.6,57569,58532.1
2,0.8,76619,76650.9
2,1,95600,97953.9
3,0.2,19343,19815.6
3,0.4,38509,39897.3
3,0.6,57625,59327
3,0.8,76680,78298.2
3,1,95653,97325.9
4,0.2,19315,19553.6
4,0.4,38493,38368.8
4,0.6,57597,56804.1
4,0.8,76655,76338.2
4,1,95620,94517.3
5,0.2,19330,19435.9
5,0.4,38446,38130.2
5,0.6,57629,59053.6
5,0.8,76657,78771.9
5,1,95609,98092.7
