SampleSize,SMRandomTimeNs,SMRandomComp,SMReversedTimeNs,SMReversedComp,SMAlmostSortedTimeNs,SMAlmostSortedComp,SQRandomTimeNs,SQRandomComp,SQReversedTimeNs,SQReversedComp,SQAlmostSortedTimeNs,SQAlmostSortedComp,MSDRandomTimeNs,MSDRandomComp,MSDReversedTimeNs,MSDReversedComp,MSDAlmostSortedTimeNs,MSDAlmostSortedComp,MSDHRandomTimeNs,MSDHRandomComp,MSDHReversedTimeNs,MSDHReversedComp,MSDHAlmostSortedTimeNs,MSDHAlmostSortedComp
100,162897,805,159456,746,129071,472,57269,1281,39221,1166,41782,1218,117251,0,114035,0,114314,0,35843,162,49811,772,51278,856
200,358918,1873,333406,1564,262531,963,98314,2597,70497,2397,67512,2400,243192,0,200074,0,198794,0,64003,537,104580,1708,106814,1654
300,571786,3020,530353,2268,448182,1454,157668,4014,99613,3589,109879,3821,310333,0,271583,0,293234,0,101077,971,143226,2378,136845,2442
400,789000,4251,688853,3158,630604,1990,231773,5830,155037,5430,173099,5736,384707,0,359055,0,417758,0,136084,1514,192322,3250,182135,3239
500,1004749,5467,878041,3872,812419,2516,305344,7329,203226,7083,201381,7053,449651,0,469469,0,495276,0,176866,2114,226950,4249,210418,4153
600,1271212,6859,1057061,4588,972743,2946,387920,9166,243974,8751,277101,8608,474040,0,535644,0,607415,0,217829,2872,291050,5117,255328,5077
700,1444705,8178,1271442,5596,1150850,3553,465026,11754,308590,10513,331481,10397,531017,0,650081,0,694191,0,276730,3572,320244,5929,310822,5949
800,1827085,9612,1616338,6352,1520440,4001,908209,12349,655478,12075,488745,11961,659454,0,769492,0,785522,0,323883,4151,402229,6832,381494,6738
900,2079013,11069,1681851,7014,1605304,4562,664617,16115,398739,14210,395904,13267,686547,0,842762,0,872231,0,354042,4971,431724,7697,410453,7668
1000,2150897,12330,1875554,7614,1756382,5233,620700,16316,449928,15855,461632,15548,757764,0,963013,0,1033807,0,409666,5954,439510,8483,473658,8525
1100,2468484,13930,2009349,8552,1976469,5719,778989,20343,481381,17250,526912,17636,816729,0,1042932,0,1090539,0,444368,6553,540900,10057,474039,9433
1200,2635837,15459,2218635,9284,2122132,6196,763022,19615,510297,19545,599935,19437,907054,0,1157366,0,1209932,0,481724,7472,542599,10255,569771,10372
1300,2928772,16893,2498827,10074,2183497,6648,917461,22281,586865,21301,665194,21465,953922,0,1253338,0,1263240,0,556368,8515,598606,10990,567485,11217
1400,3211865,18364,2682768,11104,2491480,7365,949533,25544,670070,24099,760944,24608,1036953,0,1336548,0,1377471,0,649613,9465,681596,11785,683092,11598
1500,3961084,19835,2942702,11774,3645229,7816,1029232,25079,777419,24277,760766,24811,1168522,0,1462614,0,1494696,0,633857,10505,752151,12904,628637,12479
1600,3835683,21489,3097231,12646,3083781,8342,1235133,30037,761177,27411,910366,26732,1342407,0,1600911,0,1554504,0,709257,11304,770370,13998,698380,13390
1700,4013797,22970,3368018,13444,3170909,8990,1132124,30122,782984,29126,882927,28432,1357967,0,1640316,0,1666323,0,749300,12301,776775,15065,750974,14247
1800,4206363,24624,3582744,14054,3318200,9494,1371620,32766,919171,30953,930597,29630,1472167,0,1776924,0,1804505,0,868026,12981,889231,15437,823393,15049
1900,4688754,26075,3703171,14710,3498198,10062,1302936,33381,958762,33424,1146700,32890,1560682,0,1864987,0,1869608,0,868005,13980,883145,16122,839232,15948
2000,4726507,27514,3838259,15310,3676263,10675,1345426,35307,963990,34994,1059549,35209,1608772,0,1918291,0,1923576,0,959536,15185,895866,16861,843199,16701
2100,4976897,29127,4038476,16270,3835125,11168,1547192,40815,1098663,39741,1186661,38588,1768018,0,1992570,0,2024746,0,970307,16189,943246,17831,909763,17642
2200,5302812,30971,4367109,17240,4058575,11742,1703324,42413,1212879,41909,1226335,39860,1845941,0,2128912,0,2096430,0,1030352,17090,976951,18822,940747,18754
2300,5382946,32460,4530962,18158,4368256,12146,1698394,42008,1142183,40917,1307966,39831,2035919,0,2256093,0,2221560,0,1107503,18225,1072446,20294,985329,19647
2400,5721646,34167,4759092,18722,4602695,12817,1846355,44401,1207326,43970,1395476,44285,2104470,0,2337196,0,2370040,0,1197311,19305,1122518,20731,1106966,20740
2500,5986572,35797,4930638,19922,4660287,13372,1780033,45639,1285576,44150,1482289,47345,2216691,0,2374831,0,2431706,0,1244304,20100,1190812,21395,1133988,21519
2600,5955217,37439,5172150,20646,4947675,14065,1909283,49312,1277930,46955,1470857,48246,2337404,0,2484653,0,2503787,0,1286352,21536,1207168,22279,1134465,22326
2700,6399117,38981,5319353,21688,5127810,14992,2049248,49767,1488959,50107,1499442,48730,2475430,0,2601999,0,2625658,0,1321557,22438,1209677,23269,1201249,23275
2800,6845987,40752,5622946,22284,5413614,15535,1950378,50832,1503108,55046,1641605,54063,2614637,0,2754096,0,2760848,0,1463942,23893,1370846,24257,1301876,23885
2900,7392198,42386,5531461,23140,5498059,15913,2228904,58765,1483855,53797,1616878,53694,2682966,0,2734163,0,2787842,0,1453710,25389,1373292,26199,1332416,24731
3000,7498673,44012,5701735,23912,5836789,16597,2533430,65645,1730105,61773,1643817,54632,2854585,0,2870816,0,2869989,0,1457122,25707,1389908,26086,1370042,25637
