SampleSize,QSRandomTimeNs,QSRandomComp,QSReversedTimeNs,QSReversedComp,QSAlmostSortedTimeNs,QSAlmostSortedComp,MSRandomTimeNs,MSRandomComp,MSReversedTimeNs,MSReversedComp,MSAlmostSortedTimeNs,MSAlmostSortedComp
100,72225,722,71898,1048,79939,1094,143265,643,238061,791,91169,441
200,241596,1634,296231,2628,272713,2595,501665,1603,536532,1700,131492,1014
300,441269,2966,312502,4349,264465,4013,491267,2696,512667,2674,215682,1580
400,363006,4391,394966,5476,358175,5516,688075,3899,646903,3608,326182,2556
500,484109,5733,497163,7232,458393,7269,846494,5162,882543,4717,461164,3338
600,654716,7905,601474,8636,567362,8928,1091887,6455,1124323,5598,548069,3729
700,780583,9255,763564,10651,666892,10248,1340108,7860,1334963,6610,685779,4735
800,912730,11072,804499,11992,813034,12678,1558932,9273,1529671,7651,907408,6050
900,1040079,12799,941535,13314,922877,14099,1780575,10755,1740205,8782,984162,6720
1000,1154654,14420,1111208,15714,995362,15489,1967561,12202,1941357,9962,1127612,7672
1100,1259028,16202,1193039,16857,1136826,17455,2253023,13775,2374723,11010,1221920,8112
1200,1353379,17088,1347011,18880,1290233,18492,2313769,15235,2383738,11792,1278622,9299
1300,1789148,21499,1488952,20627,1189856,21005,2432755,16885,2416208,12847,1462407,10466
1400,1613755,21211,1558676,22717,1477414,22772,2947836,18471,2800159,13877,1544704,11200
1500,1859028,21941,1802346,25223,1658805,24543,3171790,20104,3104903,15097,1945083,12230
1600,1983033,25416,1834361,25817,1758791,27296,3437167,21704,3253351,16109,1884261,13042
1700,2256470,27662,1954202,28807,1933187,29122,3828493,23475,3420229,17264,1873147,13654
1800,2613161,30277,1896567,31418,1768076,31379,3900678,25099,3733186,18476,2250034,15534
1900,2431583,31248,2260822,31925,2081935,31980,3747281,26809,3509707,19703,2273804,15908
2000,2413350,32956,2490313,35907,2327518,35492,4337673,28526,4236667,20952,2479669,17075
2100,2807511,36605,2629247,35195,2303478,35476,4726379,30258,4428775,22035,2658321,17829
2200,3194774,39288,2757295,37443,2567100,38350,5080701,31996,4782103,23002,2730493,17802
2300,3202067,39421,2791535,38555,2561908,39582,5309722,33722,4965284,23983,2867661,18835
2400,3433242,42141,2867182,40880,3126030,44216,5630283,35453,5185933,24875,2967160,19716
2500,3282894,42050,3222697,43756,2911643,43381,5774983,37305,5327079,25981,3153930,21380
2600,3665591,49244,3160740,45179,3162647,45953,6084254,39133,5208376,26953,3152887,21673
2700,3401665,48255,3082827,48284,3346770,47725,6450346,40899,5763936,28117,3493843,23498
2800,3506560,46855,3444914,50362,3230079,49986,6024660,42693,5983795,29146,3365495,23379
2900,4284609,52618,4043175,52935,3761438,52440,6830819,44537,6180630,30379,3727124,24502
3000,4036486,53852,3699327,53936,3329340,51901,7141251,46366,6581681,31739,3610409,24818
