SampleSize,SMRandomTimeNs,SMRandomComp,SMReversedTimeNs,SMReversedComp,SMAlmostSortedTimeNs,SMAlmostSortedComp,SQRandomTimeNs,SQRandomComp,SQReversedTimeNs,SQReversedComp,SQAlmostSortedTimeNs,SQAlmostSortedComp,MSDRandomTimeNs,MSDRandomComp,MSDReversedTimeNs,MSDReversedComp,MSDAlmostSortedTimeNs,MSDAlmostSortedComp,MSDHRandomTimeNs,MSDHRandomComp,MSDHReversedTimeNs,MSDHReversedComp,MSDHAlmostSortedTimeNs,MSDHAlmostSortedComp
100,165343,508,163570,437,150697,512,54482,1180,39886,1089,43682,1117,132181,0,142532,0,99625,0,33805,165,51996,790,50028,781
200,369344,1144,357754,973,337952,1234,107450,2749,80197,2689,81188,2456,221014,0,189886,0,188461,0,63979,553,100157,1740,90949,1595
300,553054,1907,544920,1544,544590,1963,179544,4272,115723,3892,124823,3818,305366,0,291222,0,272519,0,97855,1036,138809,2569,131425,2471
400,793746,2655,752141,2143,729756,2632,216945,5349,173198,5531,197068,5584,363916,0,376161,0,371811,0,135405,1499,197023,3562,183710,3310
500,1029760,3488,976073,2814,927889,3292,283019,7364,184603,6757,223519,7152,395194,0,465697,0,456080,0,170510,2079,226177,4109,219747,4094
600,1223941,4256,1191525,3380,1176349,4223,368498,9201,257783,8865,296884,9176,455126,0,566177,0,555498,0,212322,2839,273866,5109,263559,5016
700,1432291,5320,1400417,4016,1434315,5034,441471,11258,299946,10852,356379,11238,510308,0,667407,0,666941,0,256220,3559,330925,5930,324333,5969
800,1696827,5746,1592712,4691,1614677,5804,486595,12085,366389,12498,394492,12005,591323,0,750879,0,794999,0,306722,4195,373736,6950,359393,6808
900,1941738,6905,1873678,5388,1918448,6540,582811,15210,375176,13763,459715,14721,659837,0,852252,0,918963,0,348248,4949,430570,7854,398788,7731
1000,2299573,7759,2120487,6133,1926849,7045,603720,15748,458224,15816,509217,15546,727176,0,941516,0,1037762,0,405467,5806,504069,8407,482182,8723
1100,2588297,8926,2311793,6737,2289560,8293,708598,18266,536084,18829,554367,17553,841943,0,1055777,0,1122325,0,448082,6588,550220,9266,544512,9596
1200,2741717,9619,2571431,7353,2492379,9208,821856,19895,631062,20655,666758,19434,941906,0,1108498,0,1206337,0,514007,7791,553446,10307,541979,10273
1300,2922182,9956,2830558,8034,2973154,10250,979158,22277,686067,21607,1392840,22482,1599873,0,1212196,0,1332332,0,539587,8254,609256,11081,629241,11285
1400,3420500,11582,3064160,8717,2975090,11199,949449,25012,652925,23516,762644,23669,1105009,0,1297444,0,1413417,0,587116,9397,649862,12175,640347,12212
1500,3598330,12542,3236122,9459,3191941,11793,1062347,27501,677657,24706,758160,25018,1175963,0,1370980,0,1545196,0,630183,10165,700792,12888,689864,13166
1600,3730166,12997,3372508,10174,3390553,13107,1304207,31960,770704,27717,873067,27765,1310534,0,1516368,0,1628129,0,713949,11370,727634,13758,718249,13914
1700,3864750,14255,3719042,10871,3829072,13876,1164056,29088,806710,28392,965856,29527,1379888,0,1570130,0,1722724,0,764532,12275,800213,14759,807325,14766
1800,4234043,15199,4009075,11667,3915419,14516,1464481,35636,961353,31503,917230,30149,1481005,0,1667311,0,1790568,0,807300,13092,813284,15269,842884,15655
1900,4670656,16502,3969618,12421,4097534,15887,1414042,35284,921481,32822,1021428,32810,1642849,0,1820933,0,1902629,0,876546,13854,884985,16422,867851,16508
2000,4458000,16927,4277897,13267,4448207,15765,1452827,37587,941463,34740,1055461,33932,1685079,0,1865908,0,1931079,0,933289,15190,891014,17274,923233,17316
2100,5214052,18470,4740396,13984,4708652,17866,1635839,39616,1054855,37292,1252287,39749,1894155,0,2023221,0,2069688,0,962326,16308,960164,18103,998541,18326
2200,5570165,19507,5046405,14589,4979347,18127,1743682,43764,1156484,41031,1256573,40183,1905335,0,2051538,0,2178623,0,1003310,17216,1001486,18379,1018188,19307
2300,5596063,19476,5062356,15280,5102629,19384,1849069,41875,1115706,40294,1282105,41024,2086677,0,2156439,0,2262597,0,1068101,18280,1016427,19530,1024140,20249
2400,5791665,21211,5215472,15925,5582954,20573,1631078,42410,1192736,43475,1371683,43563,2165464,0,2216465,0,2348883,0,1165102,19235,1069171,20677,1094406,20915
2500,6078697,21516,5682022,16660,5806238,21015,1780100,45105,1265656,45805,1465343,46123,2251332,0,2316436,0,2537425,0,1342353,20458,1273938,22189,1102533,21779
2600,6403638,22564,6055139,17393,6284012,22745,1868854,47533,1368645,46889,1507285,47608,2356949,0,2441259,0,2545220,0,1265953,21057,1238185,22498,1271019,22587
2700,6561250,24172,6227113,18087,6223606,23820,2039415,51598,1417147,49817,1742856,52391,2541365,0,2531208,0,2689896,0,1314108,22348,1259172,23612,1214593,23458
2800,6853516,25118,6436661,18857,6283527,24529,2252037,55387,1562828,55763,1614275,51346,2584170,0,2620579,0,2740289,0,1375329,23257,1341006,24555,1323095,24564
2900,7053136,25501,6358667,19611,6573758,25742,2110030,52874,1614426,56560,1796269,55305,2717359,0,2768936,0,2846454,0,1502362,25082,1395978,25751,1308523,25303
3000,7535888,27966,7020784,20443,6987409,26098,2450689,60535,1604504,57641,1688080,56837,2878148,0,2855992,0,3002755,0,1619610,26097,1407506,25858,1354226,26108
